#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 21.761  0.000 15.710 14.678  0.000 14.868 14.443 17.288 14.381 
0.010 21.643  0.000 15.497 14.573  0.000 14.594 14.179 17.171 14.189 
0.020 21.551  0.000 15.451 14.489  0.000 14.528 14.156 17.086 14.144 
0.030 21.489  0.000 15.396 14.454  0.000 14.482 14.143 17.022 14.105 
0.040 21.435  0.000 15.380 14.421  0.000 14.439 14.126 16.966 14.076 
0.050 21.394  0.000 15.365 14.405  0.000 14.417 14.114 16.925 14.060 
0.060 21.349  0.000 15.346 14.387  0.000 14.406 14.110 16.879 14.044 
0.070 21.311  0.000 15.324 14.361  0.000 14.388 14.100 16.844 14.021 
0.080 21.287  0.000 15.307 14.351  0.000 14.375 14.087 16.816 14.005 
0.090 21.215  0.000 15.292 14.330  0.000 14.365 14.081 16.747 13.991 
0.100 21.184  0.000 15.274 14.317  0.000 14.354 14.068 16.715 13.974 
0.110 21.159  0.000 15.262 14.305  0.000 14.344 14.058 16.690 13.962 
0.120 21.133  0.000 15.251 14.297  0.000 14.334 14.050 16.667 13.950 
0.130 21.081  0.000 15.236 14.286  0.000 14.325 14.045 16.611 13.940 
0.140 21.055  0.000 15.229 14.273  0.000 14.316 14.039 16.589 13.922 
0.150 21.047  0.000 15.217 14.261  0.000 14.301 14.036 16.578 13.912 
0.160 21.034  0.000 15.208 14.250  0.000 14.291 14.030 16.565 13.903 
0.170 21.021  0.000 15.200 14.243  0.000 14.281 14.024 16.553 13.899 
0.180 21.010  0.000 15.194 14.227  0.000 14.271 14.019 16.545 13.890 
0.190 21.001  0.000 15.185 14.210  0.000 14.262 14.011 16.532 13.877 
0.200 20.987  0.000 15.180 14.203  0.000 14.254 13.993 16.520 13.871 
0.210 20.976  0.000 15.166 14.193  0.000 14.242 13.990 16.513 13.864 
0.220 20.965  0.000 15.155 14.180  0.000 14.237 13.981 16.499 13.858 
0.230 20.950  0.000 15.148 14.168  0.000 14.228 13.975 16.486 13.847 
0.240 20.939  0.000 15.141 14.159  0.000 14.221 13.963 16.474 13.841 
0.250 20.927  0.000 15.131 14.149  0.000 14.212 13.955 16.464 13.833 
0.260 20.913  0.000 15.125 14.138  0.000 14.202 13.949 16.450 13.826 
0.270 20.893  0.000 15.119 14.130  0.000 14.198 13.936 16.432 13.815 
0.280 20.874  0.000 15.110 14.122  0.000 14.192 13.923 16.414 13.807 
0.290 20.852  0.000 15.103 14.110  0.000 14.178 13.913 16.393 13.800 
0.300 20.827  0.000 15.095 14.100  0.000 14.166 13.904 16.367 13.793 
0.310 20.804  0.000 15.088 14.088  0.000 14.154 13.896 16.343 13.786 
0.320 20.789  0.000 15.082 14.077  0.000 14.146 13.888 16.327 13.775 
0.330 20.765  0.000 15.072 14.066  0.000 14.136 13.875 16.308 13.768 
0.340 20.744  0.000 15.063 14.055  0.000 14.125 13.864 16.284 13.761 
0.350 20.722  0.000 15.056 14.044  0.000 14.117 13.852 16.261 13.751 
0.360 20.694  0.000 15.052 14.035  0.000 14.109 13.842 16.230 13.746 
0.370 20.677  0.000 15.042 14.024  0.000 14.099 13.831 16.213 13.739 
0.380 20.645  0.000 15.034 14.014  0.000 14.083 13.824 16.192 13.731 
0.390 20.628  0.000 15.025 13.999  0.000 14.075 13.815 16.171 13.714 
0.400 20.608  0.000 15.008 13.991  0.000 14.062 13.808 16.154 13.706 
0.410 20.585  0.000 14.997 13.982  0.000 14.052 13.800 16.127 13.690 
0.420 20.563  0.000 14.979 13.963  0.000 14.037 13.794 16.104 13.673 
0.430 20.551  0.000 14.961 13.947  0.000 14.027 13.781 16.095 13.662 
0.440 20.527  0.000 14.950 13.938  0.000 14.009 13.773 16.070 13.644 
0.450 20.509  0.000 14.935 13.928  0.000 13.992 13.762 16.050 13.633 
0.460 20.493  0.000 14.925 13.918  0.000 13.982 13.751 16.030 13.622 
0.470 20.471  0.000 14.911 13.910  0.000 13.973 13.737 16.015 13.605 
0.480 20.452  0.000 14.897 13.895  0.000 13.965 13.725 15.993 13.593 
0.490 20.424  0.000 14.885 13.882  0.000 13.954 13.717 15.966 13.582 
0.500 20.389  0.000 14.869 13.872  0.000 13.945 13.702 15.933 13.566 
0.510 20.365  0.000 14.854 13.863  0.000 13.931 13.692 15.909 13.550 
0.520 20.325  0.000 14.842 13.845  0.000 13.916 13.682 15.867 13.537 
0.530 20.293  0.000 14.825 13.828  0.000 13.903 13.667 15.843 13.525 
0.540 20.264  0.000 14.815 13.814  0.000 13.890 13.649 15.816 13.512 
0.550 20.244  0.000 14.805 13.802  0.000 13.877 13.636 15.794 13.500 
0.560 20.216  0.000 14.785 13.782  0.000 13.856 13.622 15.769 13.485 
0.570 20.182  0.000 14.769 13.763  0.000 13.838 13.609 15.732 13.471 
0.580 20.154  0.000 14.753 13.745  0.000 13.814 13.595 15.713 13.457 
0.590 20.126  0.000 14.736 13.732  0.000 13.794 13.584 15.672 13.439 
0.600 20.099  0.000 14.718 13.717  0.000 13.778 13.568 15.652 13.413 
0.610 20.077  0.000 14.696 13.687  0.000 13.761 13.549 15.631 13.393 
0.620 20.054  0.000 14.660 13.669  0.000 13.739 13.536 15.606 13.360 
0.630 20.036  0.000 14.633 13.651  0.000 13.723 13.519 15.594 13.340 
0.640 20.019  0.000 14.615 13.637  0.000 13.714 13.504 15.570 13.316 
0.650 19.992  0.000 14.604 13.620  0.000 13.696 13.494 15.547 13.297 
0.660 19.970  0.000 14.591 13.603  0.000 13.678 13.480 15.528 13.285 
0.670 19.934  0.000 14.577 13.589  0.000 13.657 13.471 15.484 13.268 
0.680 19.914  0.000 14.558 13.573  0.000 13.639 13.462 15.463 13.258 
0.690 19.884  0.000 14.540 13.556  0.000 13.624 13.452 15.449 13.243 
0.700 19.867  0.000 14.523 13.537  0.000 13.610 13.444 15.423 13.225 
0.710 19.832  0.000 14.504 13.523  0.000 13.589 13.435 15.379 13.196 
0.720 19.776  0.000 14.485 13.501  0.000 13.576 13.420 15.326 13.180 
0.730 19.750  0.000 14.466 13.477  0.000 13.564 13.406 15.295 13.160 
0.740 19.723  0.000 14.450 13.465  0.000 13.546 13.392 15.277 13.135 
0.750 19.692  0.000 14.422 13.439  0.000 13.526 13.377 15.245 13.112 
0.760 19.663  0.000 14.408 13.419  0.000 13.514 13.365 15.216 13.094 
0.770 19.637  0.000 14.385 13.403  0.000 13.495 13.357 15.194 13.070 
0.780 19.580  0.000 14.355 13.373  0.000 13.477 13.350 15.160 13.045 
0.790 19.541  0.000 14.324 13.355  0.000 13.468 13.344 15.088 13.016 
0.800 19.500  0.000 14.305 13.325  0.000 13.442 13.327 15.058 12.994 
0.810 19.453  0.000 14.282 13.307  0.000 13.427 13.310 15.020 12.974 
0.820 19.414  0.000 14.262 13.293  0.000 13.416 13.300 14.984 12.960 
