#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 21.259  0.000 16.971 14.698  0.000 14.866 14.442 17.169 14.539 
0.010 21.109  0.000 16.926 14.597  0.000 14.592 14.174 17.042 14.386 
0.020 20.991  0.000 16.860 14.509  0.000 14.525 14.152 16.938 14.334 
0.030 20.897  0.000 16.823 14.478  0.000 14.479 14.138 16.863 14.280 
0.040 20.842  0.000 16.785 14.449  0.000 14.438 14.119 16.815 14.242 
0.050 20.771  0.000 16.761 14.423  0.000 14.415 14.109 16.766 14.223 
0.060 20.725  0.000 16.741 14.412  0.000 14.403 14.104 16.718 14.210 
0.070 20.673  0.000 16.715 14.396  0.000 14.384 14.094 16.673 14.197 
0.080 20.643  0.000 16.685 14.380  0.000 14.374 14.083 16.645 14.183 
0.090 20.571  0.000 16.652 14.368  0.000 14.362 14.075 16.569 14.174 
0.100 20.523  0.000 16.630 14.346  0.000 14.351 14.063 16.538 14.159 
0.110 20.480  0.000 16.620 14.332  0.000 14.340 14.052 16.501 14.152 
0.120 20.448  0.000 16.607 14.326  0.000 14.331 14.045 16.471 14.143 
0.130 20.422  0.000 16.552 14.317  0.000 14.324 14.040 16.430 14.129 
0.140 20.403  0.000 16.515 14.304  0.000 14.310 14.033 16.406 14.120 
0.150 20.386  0.000 16.491 14.296  0.000 14.299 14.030 16.396 14.113 
0.160 20.376  0.000 16.478 14.282  0.000 14.289 14.026 16.386 14.101 
0.170 20.359  0.000 16.469 14.270  0.000 14.279 14.018 16.372 14.092 
0.180 20.344  0.000 16.462 14.262  0.000 14.268 14.013 16.357 14.085 
0.190 20.335  0.000 16.452 14.255  0.000 14.257 14.002 16.347 14.077 
0.200 20.323  0.000 16.446 14.240  0.000 14.249 13.988 16.336 14.067 
0.210 20.302  0.000 16.437 14.230  0.000 14.238 13.984 16.317 14.059 
0.220 20.290  0.000 16.424 14.217  0.000 14.233 13.976 16.309 14.050 
0.230 20.281  0.000 16.411 14.203  0.000 14.224 13.968 16.293 14.041 
0.240 20.261  0.000 16.402 14.193  0.000 14.217 13.955 16.284 14.032 
0.250 20.241  0.000 16.392 14.187  0.000 14.210 13.947 16.267 14.023 
0.260 20.218  0.000 16.379 14.177  0.000 14.199 13.944 16.245 14.016 
0.270 20.211  0.000 16.374 14.166  0.000 14.193 13.932 16.234 14.004 
0.280 20.194  0.000 16.357 14.156  0.000 14.188 13.920 16.220 13.989 
0.290 20.175  0.000 16.342 14.150  0.000 14.174 13.908 16.195 13.977 
0.300 20.150  0.000 16.328 14.140  0.000 14.160 13.900 16.165 13.964 
0.310 20.122  0.000 16.301 14.128  0.000 14.150 13.889 16.144 13.956 
0.320 20.098  0.000 16.289 14.118  0.000 14.141 13.879 16.130 13.948 
0.330 20.085  0.000 16.272 14.108  0.000 14.132 13.868 16.105 13.934 
0.340 20.063  0.000 16.251 14.102  0.000 14.122 13.856 16.087 13.925 
0.350 20.034  0.000 16.231 14.092  0.000 14.114 13.845 16.063 13.915 
0.360 20.016  0.000 16.219 14.087  0.000 14.107 13.835 16.033 13.908 
0.370 19.982  0.000 16.198 14.075  0.000 14.095 13.827 16.006 13.897 
0.380 19.953  0.000 16.185 14.057  0.000 14.079 13.816 15.983 13.884 
0.390 19.930  0.000 16.168 14.042  0.000 14.070 13.808 15.964 13.872 
0.400 19.913  0.000 16.144 14.035  0.000 14.058 13.800 15.947 13.857 
0.410 19.891  0.000 16.114 14.021  0.000 14.048 13.793 15.915 13.837 
0.420 19.870  0.000 16.099 14.011  0.000 14.033 13.787 15.897 13.825 
0.430 19.854  0.000 16.078 14.000  0.000 14.021 13.774 15.881 13.816 
0.440 19.834  0.000 16.048 13.989  0.000 14.003 13.767 15.863 13.797 
0.450 19.812  0.000 16.029 13.977  0.000 13.987 13.754 15.846 13.781 
0.460 19.796  0.000 16.009 13.963  0.000 13.980 13.746 15.824 13.757 
0.470 19.775  0.000 16.000 13.952  0.000 13.968 13.729 15.805 13.741 
0.480 19.738  0.000 15.968 13.939  0.000 13.959 13.716 15.782 13.719 
0.490 19.715  0.000 15.945 13.925  0.000 13.950 13.709 15.753 13.684 
0.500 19.675  0.000 15.918 13.913  0.000 13.941 13.691 15.725 13.673 
0.510 19.634  0.000 15.901 13.893  0.000 13.929 13.684 15.684 13.657 
0.520 19.602  0.000 15.890 13.881  0.000 13.913 13.672 15.642 13.640 
0.530 19.569  0.000 15.871 13.860  0.000 13.895 13.657 15.607 13.622 
0.540 19.545  0.000 15.837 13.847  0.000 13.886 13.639 15.586 13.608 
0.550 19.520  0.000 15.816 13.838  0.000 13.869 13.626 15.564 13.594 
0.560 19.501  0.000 15.798 13.823  0.000 13.850 13.613 15.542 13.580 
0.570 19.484  0.000 15.773 13.799  0.000 13.834 13.597 15.509 13.569 
0.580 19.459  0.000 15.756 13.781  0.000 13.807 13.586 15.478 13.548 
0.590 19.420  0.000 15.746 13.764  0.000 13.787 13.574 15.450 13.535 
0.600 19.386  0.000 15.717 13.742  0.000 13.772 13.555 15.429 13.528 
0.610 19.361  0.000 15.697 13.723  0.000 13.758 13.539 15.401 13.505 
0.620 19.334  0.000 15.679 13.704  0.000 13.732 13.525 15.389 13.486 
0.630 19.307  0.000 15.652 13.687  0.000 13.722 13.508 15.369 13.461 
0.640 19.286  0.000 15.628 13.674  0.000 13.707 13.492 15.345 13.434 
0.650 19.270  0.000 15.606 13.660  0.000 13.687 13.482 15.315 13.409 
0.660 19.236  0.000 15.569 13.643  0.000 13.669 13.466 15.291 13.394 
0.670 19.206  0.000 15.548 13.622  0.000 13.646 13.460 15.272 13.366 
0.680 19.182  0.000 15.522 13.605  0.000 13.632 13.454 15.232 13.338 
0.690 19.149  0.000 15.483 13.585  0.000 13.621 13.438 15.210 13.309 
0.700 19.125  0.000 15.449 13.571  0.000 13.603 13.430 15.179 13.294 
0.710 19.084  0.000 15.426 13.545  0.000 13.583 13.423 15.150 13.269 
0.720 19.055  0.000 15.394 13.539  0.000 13.569 13.410 15.117 13.251 
0.730 19.016  0.000 15.357 13.513  0.000 13.557 13.391 15.073 13.232 
0.740 18.976  0.000 15.320 13.484  0.000 13.537 13.381 15.041 13.209 
0.750 18.938  0.000 15.290 13.477  0.000 13.521 13.363 15.005 13.184 
0.760 18.902  0.000 15.250 13.454  0.000 13.501 13.352 14.979 13.168 
0.770 18.858  0.000 15.237 13.437  0.000 13.482 13.345 14.938 13.157 
0.780 18.813  0.000 15.210 13.420  0.000 13.470 13.335 14.901 13.142 
0.790 18.794  0.000 15.184 13.381  0.000 13.452 13.328 14.863 13.127 
0.800 18.742  0.000 15.157 13.365  0.000 13.432 13.312 14.802 13.111 
0.810 18.707  0.000 15.127 13.343  0.000 13.418 13.295 14.775 13.085 
0.820 18.684  0.000 15.093 13.321  0.000 13.403 13.286 14.742 13.060 
0.830 18.646  0.000 15.059 13.301  0.000 13.389 13.276 14.707 13.027 
0.840 18.617  0.000 15.033 13.275  0.000 13.378 13.269 14.683 12.986 
0.850 18.554  0.000 15.011 13.255  0.000 13.363 13.256 14.652 12.965 
0.860 18.494  0.000 14.970 13.224  0.000 13.339 13.251 14.604 12.939 
0.870 18.468  0.000 14.930 13.197  0.000 13.320 13.241 14.559 12.925 
0.880 18.403  0.000 14.895 13.168  0.000 13.301 13.236 14.498 12.907 
0.890 18.387  0.000 14.866 13.142  0.000 13.281 13.228 14.459 12.867 
0.900 18.337  0.000 14.841 13.124  0.000 13.258 13.218 14.403 12.844 
0.910 18.250  0.000 14.800 13.092  0.000 13.233 13.204 14.335 12.820 
0.920 18.171  0.000 14.768 13.034  0.000 13.207 13.195 14.280 12.794 
0.930 18.097  0.000 14.733 12.979  0.000 13.192 13.183 14.222 12.775 
0.940 17.996  0.000 14.636 12.919  0.000 13.180 13.170 14.135 12.751 
0.950 17.936  0.000 14.602 12.892  0.000 13.157 13.164 14.033 12.700 
0.960 17.818  0.000 14.553 12.861  0.000 13.130 13.156 13.946 12.664 
