#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 17.686  0.000 16.181 17.006  0.000 17.988 16.694 10.544 14.285 
0.010 17.499  0.000 15.908 16.804  0.000 17.867 16.663 10.256 13.951 
0.020 17.350  0.000 15.713 16.638  0.000 17.763 16.620  9.727 13.690 
0.030 17.234  0.000 15.505 16.518  0.000 17.681 16.590  9.273 13.413 
0.040 17.179  0.000 15.440 16.459  0.000 17.633 16.572  9.125 13.326 
0.050 17.089  0.000 15.354 16.361  0.000 17.573 16.557  9.048 13.250 
0.060 17.049  0.000 15.302 16.318  0.000 17.521 16.537  8.971 13.183 
0.070 16.996  0.000 15.222 16.254  0.000 17.472 16.509  8.936 13.117 
0.080 16.945  0.000 15.163 16.202  0.000 17.441 16.482  8.901 13.073 
0.090 16.889  0.000 15.124 16.144  0.000 17.367 16.455  8.868 13.033 
0.100 16.833  0.000 15.059 16.079  0.000 17.320 16.430  8.829 13.004 
0.110 16.778  0.000 14.996 16.012  0.000 17.274 16.420  8.796 12.942 
0.120 16.731  0.000 14.940 15.969  0.000 17.244 16.402  8.752 12.893 
0.130 16.702  0.000 14.873 15.944  0.000 17.223 16.332  8.689 12.854 
0.140 16.689  0.000 14.840 15.929  0.000 17.209 16.299  8.615 12.748 
0.150 16.675  0.000 14.795 15.916  0.000 17.192 16.285  8.526 12.683 
0.160 16.657  0.000 14.752 15.896  0.000 17.179 16.265  8.390 12.615 
0.170 16.643  0.000 14.725 15.881  0.000 17.164 16.256  8.269 12.561 
0.180 16.632  0.000 14.705 15.865  0.000 17.148 16.250  8.207 12.496 
0.190 16.615  0.000 14.685 15.849  0.000 17.132 16.242  8.161 12.470 
0.200 16.598  0.000 14.670 15.831  0.000 17.116 16.234  8.122 12.449 
0.210 16.579  0.000 14.653 15.811  0.000 17.103 16.222  8.094 12.417 
0.220 16.565  0.000 14.631 15.797  0.000 17.094 16.208  8.071 12.404 
0.230 16.553  0.000 14.616 15.780  0.000 17.079 16.196  8.039 12.388 
0.240 16.532  0.000 14.595 15.760  0.000 17.064 16.184  8.015 12.372 
0.250 16.514  0.000 14.583 15.741  0.000 17.040 16.173  7.993 12.353 
0.260 16.502  0.000 14.569 15.730  0.000 17.023 16.163  7.974 12.327 
0.270 16.478  0.000 14.542 15.710  0.000 17.012 16.150  7.954 12.311 
0.280 16.459  0.000 14.526 15.691  0.000 16.998 16.132  7.916 12.292 
0.290 16.445  0.000 14.496 15.669  0.000 16.975 16.119  7.887 12.274 
0.300 16.425  0.000 14.481 15.654  0.000 16.950 16.103  7.861 12.252 
0.310 16.400  0.000 14.457 15.619  0.000 16.925 16.087  7.835 12.234 
0.320 16.377  0.000 14.439 15.606  0.000 16.902 16.066  7.804 12.210 
0.330 16.360  0.000 14.424 15.577  0.000 16.885 16.049  7.773 12.189 
0.340 16.340  0.000 14.379 15.560  0.000 16.852 16.025  7.745 12.165 
0.350 16.311  0.000 14.359 15.544  0.000 16.828 16.003  7.719 12.148 
0.360 16.285  0.000 14.342 15.505  0.000 16.810 15.991  7.681 12.131 
