#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 21.084  0.000 15.882 14.844  0.000 14.716 13.911 16.771 14.328 
0.010 20.782  0.000 15.487 14.345  0.000 14.326 13.605 16.416 13.973 
0.020 20.731  0.000 15.398 14.203  0.000 14.226 13.473 16.371 13.885 
0.030 20.702  0.000 15.337 14.123  0.000 14.163 13.424 16.341 13.836 
0.040 20.678  0.000 15.285 14.061  0.000 14.095 13.378 16.323 13.795 
0.050 20.657  0.000 15.263 14.010  0.000 14.047 13.317 16.307 13.744 
0.060 20.639  0.000 15.239 13.959  0.000 13.996 13.280 16.291 13.709 
0.070 20.617  0.000 15.220 13.906  0.000 13.956 13.247 16.271 13.674 
0.080 20.602  0.000 15.209 13.874  0.000 13.917 13.208 16.252 13.636 
0.090 20.583  0.000 15.196 13.836  0.000 13.878 13.171 16.236 13.603 
0.100 20.563  0.000 15.183 13.799  0.000 13.840 13.139 16.221 13.574 
0.110 20.548  0.000 15.171 13.765  0.000 13.803 13.114 16.204 13.540 
0.120 20.532  0.000 15.159 13.735  0.000 13.769 13.092 16.193 13.521 
0.130 20.520  0.000 15.151 13.699  0.000 13.739 13.068 16.182 13.495 
0.140 20.506  0.000 15.139 13.666  0.000 13.709 13.045 16.167 13.473 
0.150 20.489  0.000 15.130 13.639  0.000 13.682 13.028 16.154 13.459 
0.160 20.476  0.000 15.119 13.602  0.000 13.646 12.997 16.141 13.440 
0.170 20.463  0.000 15.111 13.568  0.000 13.617 12.975 16.127 13.416 
0.180 20.448  0.000 15.102 13.535  0.000 13.588 12.955 16.116 13.397 
0.190 20.436  0.000 15.095 13.489  0.000 13.559 12.935 16.100 13.379 
0.200 20.426  0.000 15.087 13.467  0.000 13.523 12.916 16.091 13.358 
0.210 20.411  0.000 15.080 13.439  0.000 13.490 12.897 16.078 13.339 
0.220 20.398  0.000 15.071 13.408  0.000 13.450 12.877 16.063 13.313 
0.230 20.384  0.000 15.063 13.371  0.000 13.429 12.855 16.047 13.299 
0.240 20.372  0.000 15.053 13.340  0.000 13.395 12.835 16.034 13.276 
0.250 20.358  0.000 15.044 13.301  0.000 13.363 12.822 16.023 13.259 
0.260 20.343  0.000 15.037 13.272  0.000 13.333 12.807 16.003 13.237 
0.270 20.325  0.000 15.025 13.246  0.000 13.291 12.791 15.984 13.213 
0.280 20.303  0.000 15.013 13.217  0.000 13.268 12.771 15.968 13.195 
0.290 20.280  0.000 15.003 13.180  0.000 13.245 12.756 15.952 13.178 
0.300 20.263  0.000 14.993 13.142  0.000 13.216 12.733 15.932 13.164 
0.310 20.242  0.000 14.983 13.103  0.000 13.187 12.711 15.915 13.144 
0.320 20.227  0.000 14.973 13.072  0.000 13.158 12.695 15.899 13.126 
0.330 20.213  0.000 14.965 13.036  0.000 13.128 12.676 15.882 13.103 
0.340 20.195  0.000 14.956 13.003  0.000 13.095 12.655 15.867 13.084 
0.350 20.181  0.000 14.947 12.970  0.000 13.056 12.638 15.854 13.060 
0.360 20.158  0.000 14.934 12.928  0.000 13.013 12.627 15.831 13.037 
0.370 20.141  0.000 14.924 12.894  0.000 12.978 12.607 15.812 13.005 
0.380 20.118  0.000 14.912 12.859  0.000 12.935 12.589 15.788 12.983 
0.390 20.094  0.000 14.899 12.828  0.000 12.899 12.572 15.771 12.960 
0.400 20.075  0.000 14.890 12.783  0.000 12.863 12.554 15.756 12.934 
0.410 20.056  0.000 14.880 12.743  0.000 12.828 12.537 15.734 12.904 
0.420 20.037  0.000 14.865 12.709  0.000 12.794 12.518 15.714 12.874 
0.430 20.015  0.000 14.858 12.675  0.000 12.750 12.501 15.697 12.838 
0.440 19.994  0.000 14.845 12.629  0.000 12.719 12.483 15.674 12.815 
0.450 19.976  0.000 14.833 12.590  0.000 12.680 12.462 15.659 12.790 
0.460 19.954  0.000 14.818 12.549  0.000 12.646 12.440 15.641 12.756 
0.470 19.929  0.000 14.804 12.507  0.000 12.614 12.427 15.618 12.719 
0.480 19.909  0.000 14.791 12.458  0.000 12.587 12.415 15.598 12.687 
0.490 19.889  0.000 14.779 12.413  0.000 12.559 12.404 15.576 12.662 
0.500 19.869  0.000 14.766 12.354  0.000 12.532 12.389 15.555 12.618 
0.510 19.844  0.000 14.753 12.310  0.000 12.496 12.378 15.537 12.583 
0.520 19.826  0.000 14.739 12.260  0.000 12.459 12.365 15.517 12.544 
0.530 19.799  0.000 14.729 12.216  0.000 12.428 12.348 15.495 12.514 
0.540 19.781  0.000 14.716 12.170  0.000 12.390 12.335 15.479 12.478 
0.550 19.762  0.000 14.708 12.116  0.000 12.356 12.319 15.459 12.415 
0.560 19.738  0.000 14.697 12.030  0.000 12.330 12.308 15.438 12.355 
0.570 19.722  0.000 14.689 11.965  0.000 12.286 12.287 15.422 12.301 
0.580 19.696  0.000 14.681 11.910  0.000 12.260 12.275 15.399 12.229 
0.590 19.675  0.000 14.669 11.848  0.000 12.225 12.258 15.376 12.159 
0.600 19.651  0.000 14.654 11.789  0.000 12.186 12.248 15.353 12.107 
0.610 19.631  0.000 14.634 11.752  0.000 12.153 12.233 15.330 12.031 
0.620 19.606  0.000 14.620 11.699  0.000 12.124 12.215 15.309 11.926 
0.630 19.587  0.000 14.605 11.646  0.000 12.089 12.201 15.290 11.821 
0.640 19.553  0.000 14.595 11.593  0.000 12.060 12.189 15.262 11.722 
0.650 19.522  0.000 14.579 11.537  0.000 12.029 12.180 15.232 11.650 
0.660 19.489  0.000 14.564 11.477  0.000 12.000 12.166 15.199 11.538 
0.670 19.463  0.000 14.552 11.408  0.000 11.969 12.153 15.178 11.442 
0.680 19.438  0.000 14.541 11.327  0.000 11.944 12.142 15.150 11.395 
0.690 19.414  0.000 14.530 11.235  0.000 11.924 12.129 15.129 11.342 
0.700 19.387  0.000 14.514 11.181  0.000 11.902 12.114 15.100 11.314 
0.710 19.356  0.000 14.496 11.111  0.000 11.874 12.103 15.070 11.264 
0.720 19.313  0.000 14.480 11.050  0.000 11.848 12.092 15.043 11.227 
0.730 19.283  0.000 14.458 10.981  0.000 11.821 12.082 15.009 11.188 
0.740 19.254  0.000 14.441 10.905  0.000 11.801 12.071 14.979 11.156 
0.750 19.213  0.000 14.421 10.825  0.000 11.784 12.059 14.939 11.119 
0.760 19.185  0.000 14.401 10.743  0.000 11.763 12.044 14.904 11.068 
0.770 19.134  0.000 14.377 10.667  0.000 11.737 12.031 14.867 11.044 
0.780 19.105  0.000 14.351 10.597  0.000 11.715 12.018 14.833 11.019 
0.790 19.062  0.000 14.331 10.502  0.000 11.694 12.007 14.804 10.997 
0.800 19.036  0.000 14.309 10.429  0.000 11.669 11.995 14.771 10.968 
0.810 19.003  0.000 14.289 10.361  0.000 11.649 11.984 14.735 10.930 
0.820 18.959  0.000 14.267 10.240  0.000 11.633 11.975 14.701 10.880 
0.830 18.919  0.000 14.244 10.123  0.000 11.611 11.965 14.661 10.866 
0.840 18.880  0.000 14.213  9.948  0.000 11.594 11.950 14.618 10.848 
0.850 18.837  0.000 14.179  9.814  0.000 11.567 11.937 14.585 10.826 
0.860 18.801  0.000 14.143  9.716  0.000 11.535 11.929 14.542 10.798 
0.870 18.750  0.000 14.114  9.616  0.000 11.509 11.920 14.489 10.767 
0.880 18.697  0.000 14.075  9.482  0.000 11.478 11.910 14.438 10.731 
0.890 18.638  0.000 14.037  9.377  0.000 11.451 11.900 14.391 10.685 
0.900 18.580  0.000 13.987  9.262  0.000 11.430 11.888 14.330 10.645 
0.910 18.515  0.000 13.945  9.153  0.000 11.403 11.878 14.273 10.613 
0.920 18.448  0.000 13.882  9.055  0.000 11.377 11.868 14.214 10.545 
0.930 18.366  0.000 13.830  8.932  0.000 11.351 11.860 14.110 10.508 
0.940 18.281  0.000 13.770  8.835  0.000 11.330 11.846 14.032 10.444 
0.950 18.165  0.000 13.715  8.735  0.000 11.298 11.834 13.917 10.404 
0.960 18.038  0.000 13.649  8.650  0.000 11.263 11.822 13.810 10.350 
