#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 22.070  0.000 16.406 14.715  0.000 14.755 14.068 17.702 14.343 
0.010 21.810  0.000 16.334 14.488  0.000 14.512 13.787 17.461 14.203 
0.020 21.654  0.000 16.221 14.442  0.000 14.449 13.724 17.309 14.139 
0.030 21.412  0.000 16.076 14.379  0.000 14.395 13.699 17.077 14.088 
0.040 21.323  0.000 16.014 14.349  0.000 14.356 13.666 16.998 14.048 
0.050 21.140  0.000 15.911 14.304  0.000 14.305 13.639 16.822 14.023 
0.060 21.044  0.000 15.857 14.278  0.000 14.283 13.615 16.744 14.004 
0.070 20.930  0.000 15.815 14.258  0.000 14.243 13.594 16.635 13.975 
0.080 20.800  0.000 15.752 14.217  0.000 14.214 13.569 16.489 13.961 
0.090 20.696  0.000 15.714 14.191  0.000 14.202 13.556 16.396 13.937 
0.100 20.629  0.000 15.617 14.159  0.000 14.180 13.532 16.297 13.918 
0.110 20.586  0.000 15.529 14.140  0.000 14.158 13.507 16.250 13.899 
0.120 20.555  0.000 15.459 14.118  0.000 14.133 13.488 16.222 13.881 
0.130 20.532  0.000 15.427 14.095  0.000 14.114 13.480 16.200 13.866 
0.140 20.508  0.000 15.397 14.066  0.000 14.092 13.458 16.175 13.851 
0.150 20.495  0.000 15.375 14.044  0.000 14.072 13.441 16.155 13.830 
0.160 20.465  0.000 15.351 14.027  0.000 14.049 13.423 16.128 13.810 
0.170 20.448  0.000 15.323 14.009  0.000 14.036 13.406 16.104 13.796 
0.180 20.428  0.000 15.305 13.992  0.000 14.019 13.391 16.086 13.772 
0.190 20.415  0.000 15.291 13.978  0.000 14.006 13.378 16.071 13.757 
0.200 20.397  0.000 15.274 13.955  0.000 13.992 13.365 16.057 13.741 
0.210 20.380  0.000 15.259 13.929  0.000 13.978 13.350 16.039 13.725 
0.220 20.358  0.000 15.239 13.902  0.000 13.951 13.341 16.014 13.715 
0.230 20.341  0.000 15.225 13.884  0.000 13.930 13.325 15.997 13.702 
0.240 20.318  0.000 15.211 13.856  0.000 13.906 13.303 15.981 13.681 
0.250 20.298  0.000 15.197 13.839  0.000 13.896 13.290 15.965 13.669 
0.260 20.284  0.000 15.187 13.825  0.000 13.885 13.273 15.945 13.661 
0.270 20.256  0.000 15.175 13.810  0.000 13.868 13.260 15.934 13.647 
0.280 20.231  0.000 15.166 13.787  0.000 13.843 13.244 15.908 13.633 
0.290 20.216  0.000 15.156 13.775  0.000 13.819 13.231 15.891 13.617 
0.300 20.198  0.000 15.140 13.753  0.000 13.810 13.216 15.877 13.606 
0.310 20.186  0.000 15.127 13.734  0.000 13.793 13.203 15.859 13.588 
0.320 20.169  0.000 15.119 13.705  0.000 13.776 13.188 15.843 13.575 
0.330 20.151  0.000 15.109 13.691  0.000 13.757 13.173 15.835 13.564 
0.340 20.138  0.000 15.100 13.669  0.000 13.745 13.151 15.822 13.545 
0.350 20.116  0.000 15.079 13.654  0.000 13.726 13.136 15.802 13.532 
0.360 20.095  0.000 15.070 13.641  0.000 13.712 13.123 15.779 13.516 
0.370 20.077  0.000 15.059 13.622  0.000 13.700 13.105 15.765 13.502 
0.380 20.065  0.000 15.046 13.592  0.000 13.687 13.090 15.749 13.493 
0.390 20.045  0.000 15.033 13.574  0.000 13.669 13.068 15.735 13.478 
0.400 20.029  0.000 15.021 13.555  0.000 13.651 13.059 15.719 13.469 
0.410 20.014  0.000 15.009 13.540  0.000 13.628 13.044 15.698 13.453 
0.420 19.991  0.000 14.992 13.528  0.000 13.612 13.029 15.681 13.444 
0.430 19.977  0.000 14.978 13.510  0.000 13.590 13.018 15.666 13.424 
0.440 19.956  0.000 14.966 13.482  0.000 13.576 13.003 15.651 13.411 
0.450 19.935  0.000 14.954 13.451  0.000 13.563 12.993 15.628 13.390 
0.460 19.916  0.000 14.943 13.432  0.000 13.538 12.979 15.606 13.380 
0.470 19.892  0.000 14.926 13.406  0.000 13.516 12.968 15.593 13.366 
0.480 19.877  0.000 14.915 13.384  0.000 13.500 12.950 15.569 13.354 
0.490 19.862  0.000 14.900 13.354  0.000 13.479 12.938 15.552 13.342 
0.500 19.838  0.000 14.893 13.323  0.000 13.472 12.932 15.528 13.329 
0.510 19.813  0.000 14.882 13.290  0.000 13.453 12.919 15.504 13.314 
0.520 19.786  0.000 14.872 13.270  0.000 13.418 12.900 15.483 13.295 
0.530 19.762  0.000 14.862 13.238  0.000 13.394 12.893 15.463 13.280 
0.540 19.742  0.000 14.852 13.208  0.000 13.369 12.881 15.440 13.266 
0.550 19.715  0.000 14.840 13.176  0.000 13.355 12.867 15.418 13.247 
0.560 19.681  0.000 14.831 13.159  0.000 13.338 12.849 15.394 13.216 
0.570 19.664  0.000 14.819 13.136  0.000 13.320 12.830 15.368 13.203 
0.580 19.640  0.000 14.812 13.108  0.000 13.301 12.812 15.350 13.182 
0.590 19.618  0.000 14.800 13.085  0.000 13.272 12.790 15.333 13.167 
0.600 19.604  0.000 14.793 13.057  0.000 13.253 12.774 15.307 13.148 
0.610 19.588  0.000 14.785 13.035  0.000 13.228 12.757 15.299 13.127 
0.620 19.571  0.000 14.777 13.014  0.000 13.212 12.746 15.268 13.102 
0.630 19.556  0.000 14.761 12.981  0.000 13.193 12.733 15.255 13.084 
0.640 19.529  0.000 14.749 12.956  0.000 13.174 12.722 15.235 13.065 
0.650 19.511  0.000 14.737 12.924  0.000 13.150 12.711 15.206 13.050 
