#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 20.506  0.000 15.555 14.854  0.000 14.848 14.081 16.197 14.243 
0.010 19.947  0.000 15.387 14.264  0.000 14.241 13.530 15.763 13.693 
0.020 19.769  0.000 15.299 14.117  0.000 14.111 13.427 15.618 13.560 
0.030 19.652  0.000 15.269 14.001  0.000 14.050 13.375 15.523 13.469 
0.040 19.572  0.000 15.245 13.943  0.000 13.993 13.343 15.461 13.411 
0.050 19.513  0.000 15.221 13.875  0.000 13.937 13.302 15.415 13.352 
0.060 19.456  0.000 15.198 13.819  0.000 13.900 13.276 15.368 13.316 
0.070 19.406  0.000 15.178 13.781  0.000 13.847 13.248 15.329 13.285 
0.080 19.357  0.000 15.160 13.734  0.000 13.800 13.218 15.288 13.253 
0.090 19.316  0.000 15.143 13.704  0.000 13.754 13.195 15.247 13.222 
0.100 19.280  0.000 15.126 13.674  0.000 13.727 13.174 15.216 13.198 
0.110 19.247  0.000 15.110 13.648  0.000 13.701 13.147 15.188 13.179 
0.120 19.214  0.000 15.094 13.626  0.000 13.674 13.128 15.160 13.164 
0.130 19.176  0.000 15.079 13.603  0.000 13.649 13.110 15.131 13.144 
0.140 19.138  0.000 15.067 13.582  0.000 13.625 13.090 15.101 13.129 
0.150 19.101  0.000 15.054 13.561  0.000 13.599 13.071 15.068 13.113 
0.160 19.060  0.000 15.040 13.542  0.000 13.578 13.054 15.036 13.098 
0.170 19.023  0.000 15.028 13.524  0.000 13.556 13.037 15.006 13.082 
0.180 18.986  0.000 15.016 13.511  0.000 13.536 13.021 14.974 13.070 
0.190 18.949  0.000 15.005 13.494  0.000 13.516 13.008 14.944 13.056 
0.200 18.914  0.000 14.994 13.478  0.000 13.498 12.997 14.915 13.041 
0.210 18.884  0.000 14.982 13.463  0.000 13.479 12.985 14.889 13.028 
0.220 18.852  0.000 14.968 13.450  0.000 13.463 12.974 14.865 13.017 
0.230 18.829  0.000 14.956 13.435  0.000 13.446 12.964 14.840 13.003 
0.240 18.800  0.000 14.945 13.419  0.000 13.432 12.954 14.822 12.991 
0.250 18.778  0.000 14.934 13.409  0.000 13.420 12.943 14.802 12.979 
0.260 18.756  0.000 14.923 13.396  0.000 13.407 12.935 14.782 12.968 
0.270 18.732  0.000 14.914 13.382  0.000 13.393 12.927 14.761 12.957 
0.280 18.712  0.000 14.905 13.369  0.000 13.379 12.918 14.742 12.945 
0.290 18.691  0.000 14.893 13.358  0.000 13.367 12.912 14.720 12.934 
0.300 18.671  0.000 14.883 13.345  0.000 13.354 12.904 14.703 12.924 
0.310 18.649  0.000 14.874 13.333  0.000 13.342 12.896 14.686 12.914 
0.320 18.627  0.000 14.864 13.319  0.000 13.330 12.890 14.668 12.903 
0.330 18.606  0.000 14.854 13.308  0.000 13.319 12.884 14.650 12.892 
0.340 18.583  0.000 14.844 13.295  0.000 13.308 12.877 14.631 12.882 
0.350 18.565  0.000 14.835 13.284  0.000 13.297 12.872 14.616 12.871 
0.360 18.543  0.000 14.824 13.271  0.000 13.286 12.866 14.597 12.861 
0.370 18.521  0.000 14.814 13.258  0.000 13.275 12.862 14.578 12.851 
0.380 18.499  0.000 14.804 13.246  0.000 13.264 12.857 14.559 12.840 
0.390 18.472  0.000 14.795 13.234  0.000 13.254 12.852 14.541 12.830 
0.400 18.449  0.000 14.786 13.223  0.000 13.243 12.848 14.521 12.819 
0.410 18.425  0.000 14.777 13.213  0.000 13.233 12.843 14.503 12.808 
0.420 18.402  0.000 14.768 13.202  0.000 13.223 12.839 14.482 12.799 
0.430 18.381  0.000 14.758 13.191  0.000 13.214 12.834 14.460 12.788 
0.440 18.355  0.000 14.749 13.180  0.000 13.202 12.830 14.437 12.778 
0.450 18.330  0.000 14.739 13.168  0.000 13.192 12.827 14.415 12.768 
0.460 18.304  0.000 14.729 13.156  0.000 13.181 12.822 14.393 12.759 
0.470 18.277  0.000 14.720 13.145  0.000 13.171 12.818 14.370 12.750 
0.480 18.253  0.000 14.712 13.132  0.000 13.161 12.813 14.346 12.740 
0.490 18.226  0.000 14.701 13.120  0.000 13.150 12.809 14.322 12.730 
0.500 18.203  0.000 14.691 13.109  0.000 13.141 12.805 14.302 12.721 
0.510 18.175  0.000 14.684 13.097  0.000 13.131 12.801 14.279 12.710 
0.520 18.150  0.000 14.675 13.087  0.000 13.123 12.798 14.253 12.700 
0.530 18.123  0.000 14.665 13.074  0.000 13.114 12.795 14.226 12.690 
0.540 18.093  0.000 14.657 13.064  0.000 13.103 12.791 14.202 12.680 
0.550 18.062  0.000 14.648 13.051  0.000 13.094 12.788 14.174 12.668 
0.560 18.035  0.000 14.640 13.039  0.000 13.085 12.785 14.149 12.658 
0.570 18.006  0.000 14.632 13.026  0.000 13.075 12.781 14.122 12.648 
0.580 17.972  0.000 14.624 13.015  0.000 13.064 12.777 14.093 12.637 
0.590 17.940  0.000 14.615 13.003  0.000 13.055 12.774 14.066 12.627 
0.600 17.910  0.000 14.606 12.989  0.000 13.045 12.770 14.039 12.616 
0.610 17.875  0.000 14.597 12.977  0.000 13.035 12.767 14.009 12.606 
0.620 17.844  0.000 14.587 12.964  0.000 13.026 12.764 13.976 12.595 
0.630 17.810  0.000 14.577 12.951  0.000 13.017 12.761 13.946 12.583 
0.640 17.775  0.000 14.569 12.939  0.000 13.007 12.758 13.917 12.571 
0.650 17.742  0.000 14.557 12.926  0.000 12.998 12.756 13.885 12.560 
0.660 17.708  0.000 14.544 12.911  0.000 12.988 12.753 13.852 12.549 
0.670 17.675  0.000 14.531 12.897  0.000 12.977 12.750 13.818 12.537 
0.680 17.637  0.000 14.519 12.881  0.000 12.967 12.747 13.784 12.524 
0.690 17.597  0.000 14.505 12.867  0.000 12.958 12.745 13.745 12.511 
0.700 17.548  0.000 14.493 12.854  0.000 12.947 12.742 13.700 12.498 
0.710 17.499  0.000 14.481 12.839  0.000 12.936 12.739 13.652 12.484 
0.720 17.436  0.000 14.468 12.821  0.000 12.926 12.737 13.603 12.470 
0.730 17.381  0.000 14.450 12.804  0.000 12.915 12.734 13.555 12.457 
0.740 17.326  0.000 14.434 12.786  0.000 12.904 12.731 13.503 12.442 
0.750 17.264  0.000 14.417 12.768  0.000 12.893 12.728 13.444 12.426 
0.760 17.188  0.000 14.398 12.751  0.000 12.881 12.726 13.374 12.410 
0.770 17.112  0.000 14.381 12.733  0.000 12.871 12.723 13.300 12.393 
0.780 17.027  0.000 14.361 12.714  0.000 12.861 12.721 13.207 12.375 
0.790 16.924  0.000 14.342 12.694  0.000 12.849 12.718 13.105 12.360 
0.800 16.799  0.000 14.324 12.671  0.000 12.839 12.715 12.971 12.342 
0.810 16.655  0.000 14.304 12.648  0.000 12.829 12.713 12.822 12.323 
0.820 16.482  0.000 14.285 12.627  0.000 12.818 12.710 12.653 12.302 
0.830 16.292  0.000 14.263 12.606  0.000 12.805 12.708 12.428 12.282 
0.840 16.062  0.000 14.240 12.580  0.000 12.792 12.706 12.161 12.261 
0.850 15.792  0.000 14.216 12.553  0.000 12.778 12.703 11.831 12.236 
0.860 15.523  0.000 14.192 12.528  0.000 12.767 12.701 11.493 12.205 
0.870 15.195  0.000 14.156 12.498  0.000 12.755 12.698 11.108 12.175 
0.880 14.875  0.000 14.123 12.470  0.000 12.743 12.696 10.727 12.143 
0.890 14.667  0.000 14.083 12.442  0.000 12.729 12.693 10.525 12.109 
0.900 14.429  0.000 14.040 12.413  0.000 12.715 12.691 10.277 12.074 
0.910 14.241  0.000 14.002 12.376  0.000 12.701 12.689 10.075 12.025 
0.920 14.064  0.000 13.947 12.335  0.000 12.687 12.687  9.899 11.983 
0.930 13.888  0.000 13.884 12.299  0.000 12.670 12.684  9.723 11.932 
0.940 13.732  0.000 13.804 12.256  0.000 12.654 12.683  9.596 11.877 
0.950 13.576  0.000 13.723 12.216  0.000 12.639 12.681  9.427 11.836 
0.960 13.408  0.000 13.631 12.170  0.000 12.620 12.679  9.261 11.762 
0.970 13.249  0.000 13.509 12.133  0.000 12.606 12.676  9.133 11.699 
0.980 13.107  0.000 13.377 12.086  0.000 12.588 12.674  8.992 11.642 
0.990 12.987  0.000 13.219 12.030  0.000 12.571 12.672  8.806 11.572 
1.000 12.855  0.000 13.025 11.962  0.000 12.554 12.670  8.653 11.496 
