#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 20.950  0.000 16.362 14.868  0.000 14.826 14.115 16.758 14.264 
0.010 20.747  0.000 16.285 14.590  0.000 14.562 13.879 16.587 14.070 
0.020 20.609  0.000 16.220 14.556  0.000 14.495 13.832 16.480 14.011 
0.030 20.483  0.000 16.189 14.491  0.000 14.460 13.806 16.373 13.974 
0.040 20.343  0.000 16.148 14.433  0.000 14.437 13.759 16.267 13.953 
0.050 20.208  0.000 16.087 14.403  0.000 14.423 13.726 16.152 13.938 
0.060 20.059  0.000 16.008 14.383  0.000 14.387 13.708 16.015 13.912 
0.070 19.930  0.000 15.926 14.350  0.000 14.377 13.671 15.883 13.893 
0.080 19.828  0.000 15.860 14.321  0.000 14.351 13.642 15.793 13.884 
0.090 19.744  0.000 15.796 14.300  0.000 14.325 13.619 15.703 13.866 
0.100 19.684  0.000 15.754 14.284  0.000 14.304 13.592 15.647 13.849 
0.110 19.641  0.000 15.717 14.268  0.000 14.295 13.563 15.609 13.836 
0.120 19.614  0.000 15.683 14.262  0.000 14.275 13.531 15.577 13.821 
0.130 19.575  0.000 15.652 14.248  0.000 14.258 13.514 15.549 13.811 
0.140 19.543  0.000 15.629 14.236  0.000 14.247 13.512 15.517 13.796 
0.150 19.499  0.000 15.612 14.228  0.000 14.236 13.494 15.487 13.788 
0.160 19.462  0.000 15.590 14.215  0.000 14.216 13.481 15.454 13.771 
0.170 19.423  0.000 15.579 14.208  0.000 14.199 13.467 15.415 13.760 
0.180 19.387  0.000 15.561 14.198  0.000 14.187 13.457 15.384 13.748 
0.190 19.355  0.000 15.544 14.185  0.000 14.174 13.444 15.352 13.732 
0.200 19.320  0.000 15.524 14.175  0.000 14.162 13.432 15.324 13.723 
0.210 19.283  0.000 15.507 14.156  0.000 14.152 13.421 15.295 13.717 
0.220 19.252  0.000 15.493 14.143  0.000 14.142 13.408 15.270 13.703 
0.230 19.223  0.000 15.473 14.131  0.000 14.129 13.396 15.245 13.694 
0.240 19.192  0.000 15.461 14.118  0.000 14.118 13.385 15.220 13.681 
0.250 19.163  0.000 15.443 14.112  0.000 14.108 13.378 15.201 13.669 
0.260 19.138  0.000 15.427 14.101  0.000 14.095 13.370 15.173 13.656 
0.270 19.100  0.000 15.407 14.092  0.000 14.091 13.361 15.142 13.644 
0.280 19.068  0.000 15.387 14.080  0.000 14.080 13.355 15.123 13.632 
0.290 19.044  0.000 15.372 14.069  0.000 14.069 13.352 15.092 13.619 
0.300 19.019  0.000 15.360 14.058  0.000 14.060 13.349 15.058 13.604 
0.310 18.989  0.000 15.348 14.048  0.000 14.050 13.342 15.033 13.593 
0.320 18.964  0.000 15.329 14.039  0.000 14.046 13.331 15.010 13.582 
0.330 18.925  0.000 15.318 14.027  0.000 14.038 13.325 14.986 13.571 
0.340 18.896  0.000 15.306 14.017  0.000 14.031 13.316 14.961 13.561 
0.350 18.869  0.000 15.295 14.007  0.000 14.021 13.308 14.931 13.548 
0.360 18.831  0.000 15.286 13.996  0.000 14.008 13.301 14.902 13.536 
0.370 18.803  0.000 15.279 13.985  0.000 13.998 13.295 14.876 13.527 
0.380 18.775  0.000 15.269 13.975  0.000 13.986 13.289 14.861 13.522 
0.390 18.755  0.000 15.252 13.965  0.000 13.975 13.284 14.847 13.511 
0.400 18.713  0.000 15.244 13.954  0.000 13.964 13.277 14.816 13.503 
0.410 18.691  0.000 15.235 13.943  0.000 13.955 13.268 14.774 13.490 
0.420 18.655  0.000 15.228 13.930  0.000 13.942 13.261 14.734 13.479 
0.430 18.618  0.000 15.215 13.917  0.000 13.930 13.254 14.708 13.472 
0.440 18.580  0.000 15.200 13.906  0.000 13.921 13.249 14.676 13.463 
0.450 18.541  0.000 15.186 13.893  0.000 13.916 13.243 14.642 13.452 
0.460 18.496  0.000 15.172 13.883  0.000 13.905 13.237 14.622 13.439 
0.470 18.467  0.000 15.164 13.871  0.000 13.897 13.231 14.589 13.428 
0.480 18.442  0.000 15.151 13.857  0.000 13.887 13.223 14.550 13.418 
0.490 18.410  0.000 15.139 13.847  0.000 13.880 13.220 14.517 13.407 
0.500 18.371  0.000 15.124 13.839  0.000 13.870 13.214 14.487 13.394 
0.510 18.338  0.000 15.109 13.831  0.000 13.861 13.205 14.445 13.383 
0.520 18.301  0.000 15.092 13.819  0.000 13.851 13.198 14.413 13.373 
0.530 18.246  0.000 15.074 13.808  0.000 13.841 13.191 14.374 13.362 
0.540 18.205  0.000 15.060 13.797  0.000 13.833 13.186 14.325 13.351 
0.550 18.164  0.000 15.051 13.789  0.000 13.823 13.181 14.286 13.341 
0.560 18.114  0.000 15.044 13.774  0.000 13.815 13.175 14.246 13.328 
0.570 18.065  0.000 15.026 13.760  0.000 13.804 13.170 14.199 13.315 
0.580 18.009  0.000 15.010 13.748  0.000 13.796 13.164 14.147 13.301 
0.590 17.958  0.000 14.991 13.733  0.000 13.784 13.159 14.111 13.285 
0.600 17.912  0.000 14.978 13.721  0.000 13.774 13.153 14.061 13.272 
0.610 17.856  0.000 14.961 13.705  0.000 13.763 13.146 14.021 13.258 
0.620 17.799  0.000 14.941 13.691  0.000 13.752 13.142 13.959 13.243 
0.630 17.738  0.000 14.923 13.678  0.000 13.744 13.136 13.920 13.228 
0.640 17.670  0.000 14.904 13.664  0.000 13.739 13.130 13.855 13.213 
0.650 17.596  0.000 14.878 13.647  0.000 13.729 13.122 13.779 13.198 
0.660 17.531  0.000 14.857 13.635  0.000 13.720 13.114 13.702 13.181 
0.670 17.433  0.000 14.837 13.627  0.000 13.707 13.108 13.614 13.166 
0.680 17.324  0.000 14.811 13.611  0.000 13.697 13.103 13.521 13.147 
0.690 17.227  0.000 14.791 13.593  0.000 13.687 13.094 13.409 13.127 
0.700 17.106  0.000 14.769 13.577  0.000 13.681 13.087 13.300 13.109 
0.710 16.993  0.000 14.747 13.555  0.000 13.672 13.081 13.177 13.092 
0.720 16.823  0.000 14.718 13.539  0.000 13.662 13.073 12.997 13.072 
0.730 16.584  0.000 14.690 13.527  0.000 13.649 13.065 12.761 13.050 
0.740 16.282  0.000 14.663 13.508  0.000 13.636 13.058 12.366 13.030 
0.750 16.087  0.000 14.641 13.490  0.000 13.624 13.050 12.016 13.007 
0.760 15.910  0.000 14.614 13.471  0.000 13.614 13.043 11.821 12.978 
0.770 15.550  0.000 14.584 13.447  0.000 13.603 13.035 11.560 12.953 
0.780 15.227  0.000 14.554 13.425  0.000 13.591 13.028 11.159 12.924 
0.790 15.034  0.000 14.509 13.404  0.000 13.580 13.022 10.832 12.901 
0.800 14.847  0.000 14.476 13.381  0.000 13.567 13.016 10.700 12.878 
0.810 14.745  0.000 14.434 13.353  0.000 13.556 13.007 10.593 12.839 
0.820 14.643  0.000 14.391 13.329  0.000 13.545 13.001 10.474 12.793 
0.830 14.523  0.000 14.329 13.290  0.000 13.532 12.994 10.336 12.739 
0.840 14.397  0.000 14.275 13.257  0.000 13.516 12.985 10.245 12.723 
0.850 14.316  0.000 14.180 13.222  0.000 13.503 12.977 10.146 12.655 
0.860 14.096  0.000 14.100 13.190  0.000 13.490 12.970  9.914 12.591 
0.870 13.881  0.000 14.028 13.146  0.000 13.473 12.961  9.772 12.509 
0.880 13.760  0.000 13.933 13.095  0.000 13.459 12.951  9.615 12.431 
0.890 13.614  0.000 13.828 13.041  0.000 13.449 12.946  9.467 12.377 
0.900 13.502  0.000 13.742 12.978  0.000 13.435 12.941  9.348 12.274 
0.910 13.325  0.000 13.590 12.915  0.000 13.423 12.933  9.133 12.191 
0.920 13.135  0.000 13.363 12.844  0.000 13.403 12.926  8.961 12.009 
0.930 13.024  0.000 13.165 12.800  0.000 13.387 12.917  8.830 11.825 
0.940 12.920  0.000 12.821 12.732  0.000 13.365 12.909  8.586 11.681 
0.950 12.843  0.000 12.453 12.680  0.000 13.342 12.902  8.307 11.463 
0.960 12.737  0.000 11.780 12.584  0.000 13.329 12.895  8.176 11.325 
