#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 21.750  0.000 15.720 14.678  0.000 14.868 14.443 17.286 14.381 
0.010 21.630  0.000 15.507 14.573  0.000 14.594 14.179 17.169 14.189 
0.020 21.537  0.000 15.462 14.489  0.000 14.528 14.156 17.084 14.143 
0.030 21.474  0.000 15.409 14.454  0.000 14.482 14.143 17.019 14.104 
0.040 21.420  0.000 15.390 14.421  0.000 14.439 14.126 16.963 14.076 
0.050 21.379  0.000 15.376 14.405  0.000 14.417 14.114 16.923 14.059 
0.060 21.334  0.000 15.355 14.387  0.000 14.406 14.110 16.877 14.044 
0.070 21.295  0.000 15.334 14.361  0.000 14.388 14.100 16.841 14.021 
0.080 21.272  0.000 15.316 14.351  0.000 14.375 14.087 16.814 14.005 
0.090 21.199  0.000 15.301 14.330  0.000 14.365 14.081 16.745 13.991 
0.100 21.169  0.000 15.284 14.317  0.000 14.354 14.068 16.713 13.974 
0.110 21.142  0.000 15.274 14.305  0.000 14.344 14.058 16.687 13.962 
0.120 21.116  0.000 15.262 14.297  0.000 14.334 14.050 16.664 13.950 
0.130 21.065  0.000 15.250 14.286  0.000 14.325 14.045 16.609 13.940 
0.140 21.039  0.000 15.240 14.273  0.000 14.316 14.039 16.586 13.922 
0.150 21.032  0.000 15.233 14.261  0.000 14.301 14.036 16.576 13.912 
0.160 21.020  0.000 15.224 14.250  0.000 14.291 14.030 16.562 13.903 
0.170 21.006  0.000 15.212 14.243  0.000 14.281 14.024 16.551 13.899 
0.180 20.995  0.000 15.207 14.227  0.000 14.271 14.019 16.542 13.890 
0.190 20.984  0.000 15.199 14.210  0.000 14.262 14.011 16.530 13.877 
0.200 20.972  0.000 15.191 14.203  0.000 14.254 13.993 16.517 13.871 
0.210 20.961  0.000 15.181 14.193  0.000 14.242 13.990 16.510 13.864 
0.220 20.949  0.000 15.171 14.181  0.000 14.237 13.981 16.497 13.858 
0.230 20.933  0.000 15.163 14.168  0.000 14.228 13.975 16.483 13.847 
0.240 20.922  0.000 15.156 14.159  0.000 14.221 13.963 16.471 13.841 
0.250 20.909  0.000 15.145 14.149  0.000 14.212 13.955 16.461 13.833 
0.260 20.897  0.000 15.138 14.138  0.000 14.202 13.949 16.448 13.826 
0.270 20.878  0.000 15.131 14.130  0.000 14.198 13.936 16.429 13.815 
0.280 20.860  0.000 15.123 14.122  0.000 14.192 13.923 16.411 13.807 
0.290 20.838  0.000 15.116 14.110  0.000 14.178 13.913 16.391 13.800 
0.300 20.813  0.000 15.112 14.100  0.000 14.166 13.904 16.365 13.793 
0.310 20.788  0.000 15.104 14.088  0.000 14.154 13.896 16.340 13.786 
0.320 20.773  0.000 15.092 14.077  0.000 14.146 13.888 16.324 13.775 
0.330 20.751  0.000 15.087 14.066  0.000 14.136 13.875 16.306 13.768 
0.340 20.731  0.000 15.076 14.055  0.000 14.125 13.864 16.282 13.761 
0.350 20.705  0.000 15.069 14.044  0.000 14.117 13.852 16.258 13.751 
0.360 20.679  0.000 15.064 14.035  0.000 14.109 13.842 16.227 13.746 
0.370 20.661  0.000 15.058 14.024  0.000 14.099 13.831 16.211 13.739 
0.380 20.632  0.000 15.050 14.014  0.000 14.083 13.824 16.190 13.731 
0.390 20.612  0.000 15.038 13.999  0.000 14.075 13.815 16.168 13.714 
0.400 20.594  0.000 15.026 13.991  0.000 14.062 13.808 16.151 13.706 
0.410 20.570  0.000 15.010 13.982  0.000 14.052 13.800 16.124 13.690 
0.420 20.547  0.000 14.995 13.963  0.000 14.037 13.794 16.101 13.673 
0.430 20.534  0.000 14.982 13.947  0.000 14.027 13.781 16.092 13.662 
0.440 20.510  0.000 14.959 13.938  0.000 14.009 13.773 16.067 13.644 
0.450 20.492  0.000 14.949 13.928  0.000 13.992 13.762 16.047 13.633 
0.460 20.478  0.000 14.932 13.918  0.000 13.982 13.751 16.027 13.622 
0.470 20.457  0.000 14.921 13.910  0.000 13.973 13.737 16.011 13.605 
0.480 20.436  0.000 14.909 13.895  0.000 13.965 13.725 15.991 13.593 
0.490 20.407  0.000 14.894 13.882  0.000 13.954 13.717 15.963 13.581 
0.500 20.376  0.000 14.880 13.872  0.000 13.945 13.702 15.930 13.566 
0.510 20.352  0.000 14.862 13.863  0.000 13.931 13.692 15.906 13.549 
0.520 20.307  0.000 14.852 13.845  0.000 13.916 13.682 15.864 13.536 
0.530 20.278  0.000 14.834 13.828  0.000 13.903 13.667 15.840 13.525 
0.540 20.246  0.000 14.827 13.814  0.000 13.890 13.649 15.813 13.512 
0.550 20.230  0.000 14.814 13.802  0.000 13.877 13.636 15.791 13.500 
0.560 20.198  0.000 14.796 13.783  0.000 13.856 13.622 15.767 13.485 
0.570 20.168  0.000 14.777 13.763  0.000 13.838 13.609 15.730 13.471 
0.580 20.140  0.000 14.760 13.745  0.000 13.814 13.595 15.710 13.457 
0.590 20.107  0.000 14.744 13.732  0.000 13.794 13.584 15.670 13.439 
0.600 20.084  0.000 14.728 13.717  0.000 13.778 13.568 15.650 13.414 
0.610 20.060  0.000 14.699 13.687  0.000 13.761 13.549 15.628 13.393 
0.620 20.040  0.000 14.670 13.669  0.000 13.739 13.536 15.603 13.361 
0.630 20.024  0.000 14.643 13.651  0.000 13.723 13.519 15.591 13.340 
0.640 20.005  0.000 14.624 13.637  0.000 13.714 13.504 15.567 13.316 
0.650 19.975  0.000 14.610 13.620  0.000 13.696 13.494 15.545 13.297 
0.660 19.959  0.000 14.602 13.604  0.000 13.678 13.480 15.526 13.285 
0.670 19.922  0.000 14.586 13.589  0.000 13.657 13.471 15.482 13.268 
0.680 19.903  0.000 14.571 13.573  0.000 13.639 13.462 15.461 13.258 
0.690 19.870  0.000 14.554 13.556  0.000 13.624 13.452 15.446 13.243 
0.700 19.855  0.000 14.528 13.537  0.000 13.610 13.444 15.420 13.225 
0.710 19.812  0.000 14.516 13.523  0.000 13.589 13.435 15.376 13.196 
0.720 19.762  0.000 14.493 13.501  0.000 13.576 13.420 15.324 13.180 
0.730 19.732  0.000 14.472 13.477  0.000 13.564 13.406 15.292 13.160 
0.740 19.708  0.000 14.455 13.465  0.000 13.546 13.392 15.275 13.135 
0.750 19.674  0.000 14.430 13.439  0.000 13.526 13.377 15.242 13.112 
0.760 19.645  0.000 14.414 13.419  0.000 13.514 13.365 15.214 13.094 
0.770 19.620  0.000 14.398 13.403  0.000 13.495 13.357 15.192 13.070 
0.780 19.562  0.000 14.356 13.373  0.000 13.477 13.350 15.158 13.046 
0.790 19.526  0.000 14.330 13.355  0.000 13.468 13.344 15.086 13.016 
0.800 19.484  0.000 14.312 13.325  0.000 13.442 13.327 15.057 12.993 
0.810 19.435  0.000 14.288 13.307  0.000 13.427 13.310 15.018 12.974 
0.820 19.404  0.000 14.265 13.293  0.000 13.416 13.300 14.981 12.960 
0.830 19.375  0.000 14.246 13.263  0.000 13.403 13.290 14.950 12.940 
0.840 19.337  0.000 14.226 13.237  0.000 13.390 13.284 14.914 12.926 
0.850 19.300  0.000 14.213 13.207  0.000 13.369 13.272 14.882 12.893 
0.860 19.279  0.000 14.185 13.177  0.000 13.351 13.265 14.848 12.874 
0.870 19.228  0.000 14.166 13.149  0.000 13.336 13.259 14.816 12.837 
0.880 19.171  0.000 14.145 13.125  0.000 13.316 13.251 14.755 12.820 
0.890 19.153  0.000 14.116 13.106  0.000 13.289 13.245 14.711 12.792 
0.900 19.082  0.000 14.085 13.068  0.000 13.274 13.235 14.669 12.767 
0.910 19.011  0.000 14.057 13.039  0.000 13.249 13.220 14.593 12.748 
0.920 18.962  0.000 14.033 12.978  0.000 13.225 13.210 14.545 12.723 
