#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 20.334  0.000 15.353 14.552  0.000 14.563 13.923 15.995 13.977 
0.010 20.033  0.000 15.233 13.839  0.000 13.760 13.380 15.785 13.397 
0.020 19.962  0.000 15.203 13.728  0.000 13.671 13.333 15.748 13.318 
0.030 19.935  0.000 15.178 13.664  0.000 13.614 13.302 15.717 13.264 
0.040 19.910  0.000 15.161 13.617  0.000 13.570 13.282 15.694 13.225 
0.050 19.889  0.000 15.147 13.576  0.000 13.540 13.265 15.674 13.191 
0.060 19.869  0.000 15.136 13.546  0.000 13.515 13.247 15.655 13.164 
0.070 19.850  0.000 15.125 13.513  0.000 13.492 13.234 15.638 13.136 
0.080 19.835  0.000 15.115 13.484  0.000 13.467 13.222 15.625 13.110 
0.090 19.818  0.000 15.107 13.461  0.000 13.447 13.212 15.612 13.088 
0.100 19.798  0.000 15.097 13.433  0.000 13.431 13.201 15.600 13.069 
0.110 19.784  0.000 15.087 13.409  0.000 13.413 13.190 15.588 13.052 
0.120 19.770  0.000 15.079 13.390  0.000 13.398 13.181 15.577 13.035 
0.130 19.754  0.000 15.073 13.370  0.000 13.383 13.171 15.565 13.019 
0.140 19.741  0.000 15.065 13.350  0.000 13.369 13.164 15.555 13.003 
0.150 19.729  0.000 15.059 13.328  0.000 13.352 13.156 15.547 12.989 
0.160 19.719  0.000 15.052 13.307  0.000 13.339 13.149 15.538 12.975 
0.170 19.709  0.000 15.045 13.289  0.000 13.326 13.141 15.529 12.960 
0.180 19.700  0.000 15.040 13.271  0.000 13.311 13.133 15.521 12.947 
0.190 19.691  0.000 15.034 13.254  0.000 13.297 13.127 15.513 12.935 
0.200 19.680  0.000 15.027 13.238  0.000 13.283 13.119 15.505 12.921 
0.210 19.671  0.000 15.022 13.221  0.000 13.270 13.113 15.498 12.910 
0.220 19.661  0.000 15.016 13.206  0.000 13.258 13.108 15.492 12.897 
0.230 19.654  0.000 15.011 13.190  0.000 13.245 13.102 15.486 12.883 
0.240 19.645  0.000 15.005 13.174  0.000 13.231 13.095 15.479 12.871 
0.250 19.638  0.000 15.000 13.159  0.000 13.219 13.090 15.471 12.859 
0.260 19.629  0.000 14.996 13.141  0.000 13.206 13.085 15.463 12.845 
0.270 19.622  0.000 14.991 13.125  0.000 13.194 13.080 15.457 12.831 
0.280 19.615  0.000 14.985 13.108  0.000 13.183 13.074 15.450 12.817 
0.290 19.607  0.000 14.980 13.089  0.000 13.170 13.068 15.444 12.805 
0.300 19.599  0.000 14.975 13.073  0.000 13.159 13.062 15.436 12.792 
0.310 19.590  0.000 14.969 13.058  0.000 13.148 13.056 15.429 12.780 
0.320 19.582  0.000 14.964 13.038  0.000 13.135 13.051 15.421 12.769 
0.330 19.574  0.000 14.959 13.022  0.000 13.124 13.044 15.412 12.757 
0.340 19.565  0.000 14.953 13.002  0.000 13.114 13.038 15.404 12.745 
0.350 19.557  0.000 14.948 12.984  0.000 13.102 13.032 15.395 12.732 
0.360 19.548  0.000 14.942 12.965  0.000 13.091 13.026 15.385 12.720 
0.370 19.539  0.000 14.934 12.949  0.000 13.078 13.020 15.377 12.707 
0.380 19.528  0.000 14.928 12.929  0.000 13.068 13.015 15.366 12.696 
0.390 19.516  0.000 14.920 12.914  0.000 13.054 13.010 15.354 12.684 
0.400 19.505  0.000 14.913 12.896  0.000 13.041 13.005 15.342 12.674 
0.410 19.493  0.000 14.906 12.876  0.000 13.029 12.999 15.330 12.662 
0.420 19.479  0.000 14.900 12.859  0.000 13.019 12.994 15.321 12.650 
0.430 19.470  0.000 14.894 12.843  0.000 13.006 12.988 15.310 12.636 
0.440 19.459  0.000 14.886 12.823  0.000 12.994 12.984 15.301 12.625 
0.450 19.447  0.000 14.881 12.806  0.000 12.982 12.980 15.292 12.611 
0.460 19.437  0.000 14.874 12.789  0.000 12.972 12.976 15.283 12.599 
0.470 19.427  0.000 14.868 12.770  0.000 12.960 12.972 15.270 12.585 
0.480 19.414  0.000 14.862 12.755  0.000 12.948 12.967 15.259 12.574 
0.490 19.402  0.000 14.857 12.735  0.000 12.938 12.963 15.246 12.563 
0.500 19.390  0.000 14.851 12.715  0.000 12.924 12.958 15.235 12.550 
0.510 19.376  0.000 14.845 12.696  0.000 12.913 12.954 15.226 12.538 
0.520 19.363  0.000 14.839 12.679  0.000 12.901 12.950 15.214 12.524 
0.530 19.349  0.000 14.831 12.658  0.000 12.888 12.946 15.203 12.511 
0.540 19.335  0.000 14.825 12.640  0.000 12.874 12.942 15.191 12.499 
0.550 19.322  0.000 14.816 12.617  0.000 12.863 12.937 15.178 12.483 
0.560 19.308  0.000 14.808 12.599  0.000 12.847 12.934 15.167 12.470 
0.570 19.294  0.000 14.800 12.574  0.000 12.836 12.929 15.155 12.454 
0.580 19.282  0.000 14.791 12.548  0.000 12.823 12.925 15.142 12.440 
0.590 19.267  0.000 14.784 12.521  0.000 12.811 12.922 15.129 12.423 
0.600 19.255  0.000 14.776 12.499  0.000 12.798 12.917 15.115 12.405 
0.610 19.240  0.000 14.769 12.473  0.000 12.787 12.914 15.104 12.386 
0.620 19.226  0.000 14.757 12.441  0.000 12.777 12.910 15.092 12.367 
0.630 19.211  0.000 14.748 12.420  0.000 12.764 12.906 15.077 12.349 
0.640 19.196  0.000 14.738 12.396  0.000 12.753 12.902 15.062 12.332 
0.650 19.180  0.000 14.729 12.371  0.000 12.740 12.898 15.047 12.315 
0.660 19.164  0.000 14.720 12.343  0.000 12.725 12.895 15.034 12.295 
0.670 19.148  0.000 14.711 12.319  0.000 12.711 12.891 15.019 12.271 
0.680 19.130  0.000 14.700 12.289  0.000 12.696 12.888 15.002 12.249 
0.690 19.112  0.000 14.690 12.258  0.000 12.684 12.884 14.985 12.224 
