#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 20.514  0.000 15.476 14.410  0.000 14.389 13.645 16.183 14.078 
0.010 20.207  0.000 15.268 13.724  0.000 13.660 13.164 15.936 13.307 
0.020 20.106  0.000 15.243 13.611  0.000 13.545 13.113 15.853 13.200 
0.030 19.976  0.000 15.224 13.536  0.000 13.485 13.074 15.751 13.134 
0.040 19.805  0.000 15.211 13.478  0.000 13.433 13.048 15.603 13.083 
0.050 19.645  0.000 15.199 13.429  0.000 13.394 13.028 15.508 13.042 
0.060 19.583  0.000 15.188 13.391  0.000 13.359 13.013 15.475 13.012 
0.070 19.546  0.000 15.177 13.346  0.000 13.325 13.000 15.446 12.982 
0.080 19.516  0.000 15.167 13.305  0.000 13.292 12.988 15.421 12.958 
0.090 19.492  0.000 15.155 13.265  0.000 13.262 12.977 15.399 12.931 
0.100 19.467  0.000 15.145 13.225  0.000 13.228 12.966 15.384 12.908 
0.110 19.442  0.000 15.136 13.186  0.000 13.200 12.958 15.369 12.887 
0.120 19.422  0.000 15.128 13.151  0.000 13.170 12.949 15.354 12.864 
0.130 19.403  0.000 15.121 13.109  0.000 13.144 12.941 15.340 12.839 
0.140 19.387  0.000 15.114 13.070  0.000 13.117 12.935 15.325 12.818 
0.150 19.371  0.000 15.108 13.032  0.000 13.091 12.929 15.308 12.796 
0.160 19.356  0.000 15.100 12.996  0.000 13.064 12.923 15.293 12.776 
0.170 19.342  0.000 15.093 12.961  0.000 13.035 12.917 15.281 12.757 
0.180 19.324  0.000 15.087 12.923  0.000 13.009 12.911 15.269 12.737 
0.190 19.308  0.000 15.081 12.885  0.000 12.986 12.906 15.258 12.715 
0.200 19.292  0.000 15.074 12.846  0.000 12.965 12.900 15.241 12.694 
0.210 19.277  0.000 15.068 12.814  0.000 12.937 12.894 15.230 12.673 
0.220 19.260  0.000 15.060 12.773  0.000 12.913 12.889 15.218 12.649 
0.230 19.246  0.000 15.053 12.728  0.000 12.886 12.885 15.209 12.624 
0.240 19.234  0.000 15.047 12.695  0.000 12.864 12.880 15.199 12.602 
0.250 19.222  0.000 15.041 12.651  0.000 12.839 12.874 15.189 12.578 
0.260 19.210  0.000 15.033 12.607  0.000 12.817 12.869 15.181 12.554 
0.270 19.199  0.000 15.025 12.564  0.000 12.793 12.864 15.173 12.531 
0.280 19.189  0.000 15.018 12.527  0.000 12.769 12.860 15.164 12.507 
0.290 19.180  0.000 15.012 12.489  0.000 12.745 12.856 15.155 12.482 
0.300 19.171  0.000 15.005 12.443  0.000 12.722 12.851 15.147 12.454 
0.310 19.163  0.000 14.998 12.400  0.000 12.696 12.847 15.136 12.427 
0.320 19.153  0.000 14.992 12.359  0.000 12.674 12.843 15.126 12.397 
0.330 19.142  0.000 14.985 12.318  0.000 12.649 12.839 15.117 12.371 
0.340 19.132  0.000 14.978 12.271  0.000 12.629 12.835 15.108 12.340 
0.350 19.121  0.000 14.970 12.224  0.000 12.610 12.831 15.099 12.311 
