#P(>logN) HI HeII CIII CIV OIV OVI NeVIII MgII SiIV
0.000 21.221  0.000 16.588 14.504  0.000 14.683 13.961 17.016 14.255 
0.010 21.146  0.000 16.566 14.343  0.000 14.378 13.870 16.966 14.069 
0.020 21.097  0.000 16.542 14.281  0.000 14.322 13.832 16.923 14.020 
0.030 21.027  0.000 16.513 14.253  0.000 14.265 13.802 16.868 13.985 
0.040 20.967  0.000 16.490 14.223  0.000 14.228 13.776 16.826 13.954 
0.050 20.912  0.000 16.463 14.189  0.000 14.184 13.762 16.774 13.927 
0.060 20.862  0.000 16.436 14.161  0.000 14.153 13.748 16.728 13.899 
0.070 20.795  0.000 16.399 14.131  0.000 14.130 13.731 16.670 13.878 
0.080 20.723  0.000 16.367 14.113  0.000 14.106 13.717 16.622 13.856 
0.090 20.671  0.000 16.337 14.083  0.000 14.094 13.709 16.566 13.834 
0.100 20.600  0.000 16.306 14.051  0.000 14.068 13.698 16.507 13.817 
0.110 20.524  0.000 16.271 14.036  0.000 14.046 13.685 16.445 13.788 
0.120 20.458  0.000 16.229 14.020  0.000 14.035 13.671 16.398 13.770 
0.130 20.379  0.000 16.204 13.998  0.000 14.021 13.664 16.333 13.749 
0.140 20.345  0.000 16.172 13.979  0.000 13.996 13.656 16.291 13.736 
0.150 20.272  0.000 16.132 13.963  0.000 13.978 13.639 16.234 13.714 
0.160 20.208  0.000 16.091 13.942  0.000 13.964 13.627 16.178 13.695 
0.170 20.172  0.000 16.056 13.930  0.000 13.952 13.615 16.137 13.678 
0.180 20.102  0.000 16.022 13.917  0.000 13.933 13.602 16.078 13.666 
0.190 20.065  0.000 15.989 13.906  0.000 13.913 13.591 16.038 13.649 
0.200 20.014  0.000 15.957 13.885  0.000 13.902 13.583 15.999 13.633 
0.210 19.974  0.000 15.931 13.868  0.000 13.887 13.574 15.964 13.616 
0.220 19.951  0.000 15.896 13.846  0.000 13.869 13.568 15.941 13.598 
0.230 19.918  0.000 15.866 13.828  0.000 13.854 13.556 15.904 13.579 
0.240 19.874  0.000 15.850 13.801  0.000 13.841 13.545 15.866 13.561 
0.250 19.856  0.000 15.833 13.780  0.000 13.831 13.534 15.845 13.537 
0.260 19.824  0.000 15.813 13.764  0.000 13.816 13.525 15.814 13.518 
0.270 19.793  0.000 15.785 13.747  0.000 13.801 13.511 15.790 13.509 
0.280 19.776  0.000 15.759 13.734  0.000 13.784 13.499 15.770 13.492 
0.290 19.760  0.000 15.733 13.720  0.000 13.771 13.484 15.747 13.476 
0.300 19.741  0.000 15.716 13.706  0.000 13.758 13.473 15.736 13.461 
0.310 19.714  0.000 15.692 13.693  0.000 13.745 13.462 15.709 13.443 
0.320 19.698  0.000 15.663 13.671  0.000 13.734 13.451 15.692 13.417 
0.330 19.674  0.000 15.649 13.650  0.000 13.720 13.440 15.668 13.398 
0.340 19.653  0.000 15.639 13.632  0.000 13.703 13.429 15.644 13.382 
0.350 19.629  0.000 15.623 13.615  0.000 13.686 13.409 15.626 13.363 
0.360 19.612  0.000 15.609 13.594  0.000 13.669 13.395 15.614 13.336 
0.370 19.600  0.000 15.596 13.583  0.000 13.654 13.383 15.600 13.320 
0.380 19.587  0.000 15.577 13.571  0.000 13.642 13.372 15.584 13.300 
0.390 19.572  0.000 15.560 13.554  0.000 13.625 13.367 15.571 13.286 
0.400 19.556  0.000 15.549 13.542  0.000 13.607 13.356 15.556 13.270 
0.410 19.537  0.000 15.536 13.525  0.000 13.586 13.345 15.541 13.251 
0.420 19.515  0.000 15.527 13.511  0.000 13.577 13.338 15.528 13.234 
0.430 19.500  0.000 15.516 13.496  0.000 13.560 13.329 15.504 13.214 
0.440 19.477  0.000 15.498 13.482  0.000 13.546 13.318 15.479 13.192 
0.450 19.463  0.000 15.485 13.462  0.000 13.525 13.309 15.465 13.178 
0.460 19.447  0.000 15.471 13.443  0.000 13.512 13.303 15.452 13.152 
0.470 19.430  0.000 15.459 13.424  0.000 13.493 13.292 15.428 13.134 
0.480 19.405  0.000 15.443 13.390  0.000 13.477 13.284 15.408 13.120 
0.490 19.382  0.000 15.424 13.376  0.000 13.449 13.274 15.392 13.098 
0.500 19.365  0.000 15.406 13.344  0.000 13.431 13.264 15.371 13.088 
0.510 19.350  0.000 15.391 13.317  0.000 13.409 13.253 15.354 13.073 
0.520 19.319  0.000 15.365 13.298  0.000 13.396 13.243 15.331 13.059 
0.530 19.293  0.000 15.347 13.270  0.000 13.377 13.235 15.307 13.045 
0.540 19.267  0.000 15.324 13.245  0.000 13.361 13.226 15.277 13.020 
0.550 19.246  0.000 15.297 13.225  0.000 13.347 13.217 15.258 13.002 
0.560 19.223  0.000 15.279 13.204  0.000 13.326 13.211 15.233 12.980 
0.570 19.201  0.000 15.257 13.167  0.000 13.306 13.200 15.212 12.957 
0.580 19.160  0.000 15.235 13.140  0.000 13.289 13.189 15.180 12.938 
0.590 19.138  0.000 15.211 13.102  0.000 13.270 13.179 15.157 12.918 
0.600 19.121  0.000 15.199 13.070  0.000 13.257 13.170 15.131 12.886 
0.610 19.101  0.000 15.174 13.048  0.000 13.240 13.163 15.110 12.857 
0.620 19.074  0.000 15.149 12.993  0.000 13.224 13.156 15.091 12.832 
0.630 19.041  0.000 15.119 12.961  0.000 13.204 13.148 15.063 12.805 
0.640 19.013  0.000 15.106 12.905  0.000 13.187 13.139 15.031 12.778 
0.650 18.973  0.000 15.068 12.866  0.000 13.168 13.131 14.997 12.737 
0.660 18.951  0.000 15.037 12.831  0.000 13.147 13.124 14.967 12.717 
