#ID	Modelname	tcc	vs	vexp	q	t75	t50	t25	v75	v50	v25	Group
0	x300v1000	1.72	57.7	0.9	0.90	14.0	21.8	28.1	52.1	79.1	99.6	0
1	x300v1700	1.01	98.1	3.6	0.90	 6.9	10.3	13.0	22.6	33.8	42.4	0
2	x1000v1700	1.85	53.8	0.6	0.90	 2.2	 3.8	 5.1	 2.6	 4.5	 6.1	0
3	x3000v3000	1.81	54.8	0.7	0.90	 0.3	 0.5	 0.8	 0.1	 0.3	 0.4	0
4	x300v3000	0.57	173.2	5.4	0.90	 3.4	 5.2	 6.5	 5.6	 8.4	10.6	0
5	x300v3000b	0.57	173.2	5.4	0.90	12.5	18.3	22.9	33.8	49.2	61.1	0
6	x1000v480	6.54	15.2	-2.0	0.90	 0.9	 1.8	 2.7	 1.5	 2.9	 4.4	0
7	x3000v860	6.32	15.7	-1.9	0.90	 0.1	 0.2	 0.3	 0.1	 0.1	 0.2	0
8	x300v1700c5	1.01	98.1	3.6	0.90	17.4	25.6	32.8	56.1	81.4	103.0	0
9	x300v1700c20	1.01	98.1	3.6	0.90	26.1	48.8	78.6	83.0	148.8	227.4	0
