#ID	Modelname	tcc	vs	vexp	q	t75	t50	t25	v75	v50	v25	Group
0	x300v1000	1.72	57.7	0.9	0.95	18.4	28.1	35.8	68.1	100.7	124.8	0
1	x300v1700	1.01	98.1	3.6	0.95	11.4	16.8	21.0	37.5	54.8	68.1	0
2	x1000v1700	1.85	53.8	0.6	0.95	 3.0	 5.1	 6.8	 3.6	 6.1	 8.2	0
3	x3000v3000	1.81	54.8	0.7	0.95	 0.4	 0.8	 1.2	 0.2	 0.4	 0.6	0
4	x300v3000	0.57	173.2	5.4	0.95	 7.4	10.8	13.4	12.1	17.7	22.0	0
5	x300v3000b	0.57	173.2	5.4	0.95	25.3	37.4	49.5	68.2	99.7	130.6	0
6	x300v1700c5	1.01	98.1	3.6	0.95	23.1	38.3	55.3	74.4	120.0	168.2	0
7	x300v1700c20	1.01	98.1	3.6	0.95	13.4	30.4	57.4	44.1	96.9	174.0	0
8	x1000v480	6.54	15.2	-2.0	0.95	 0.9	 1.8	 2.7	 1.5	 3.0	 4.5	0
9	x3000v860	6.32	15.7	-1.9	0.95	 0.1	 0.2	 0.3	 0.1	 0.1	 0.2	0
