#ID	Modelname	tcc	vs	vexp	q	t75	t50	t25	v75	v50	v25	Lmax
0	x300v1000	1.72	57.7	3.2	0.90	 8.7	13.8	18.5	33.1	51.6	68.0	 885
1	x300v1700	1.01	98.1	4.2	0.90	 6.6	10.2	13.3	21.7	33.5	43.5	 683
2	x1000v1700	1.85	53.8	3.0	0.90	 1.2	 2.2	 3.3	 4.8	 9.0	13.2	 186
3	x3000v3000	1.81	54.8	3.1	0.90	 0.1	 0.2	 0.3	 0.4	 0.8	 1.2	 132
4	x300v3000	0.57	173.2	5.4	0.90	 3.2	 5.1	 6.6	 8.8	13.7	17.8	 327
5	x300v3000b	0.57	173.2	5.4	0.90	12.5	18.3	23.0	33.7	49.2	61.5	1145
6	x1000v480	6.54	15.2	0.7	0.90	 0.4	 0.9	 1.3	 2.8	 5.5	 8.3	 299
7	x3000v860	6.32	15.7	0.7	0.90	 0.0	 0.1	 0.1	 0.3	 0.4	 0.6	 283
8	x300v1700c5	1.01	98.1	4.2	0.90	18.0	28.6	38.4	58.1	90.3	119.1	1155
9	x300v1700c20	1.01	98.1	4.2	0.90	27.9	53.2	85.1	88.2	160.8	243.6	1406
