#ID	Modelname	tcc	vs	vexp	q	t75	t50	t25	v75	v50	v25	Lmax
0	x300v1000	1.72	57.7	3.2	0.90	 9.9	17.1	24.5	37.5	63.0	88.1	 572
1	x300v1700	1.01	98.1	4.2	0.90	 8.6	15.4	22.4	28.2	49.8	71.6	 294
2	x1000v1700	1.85	53.8	3.0	0.90	 1.3	 2.5	 3.8	 5.1	10.1	15.1	 157
3	x3000v3000	1.81	54.8	3.1	0.90	 0.1	 0.2	 0.3	 0.4	 0.8	 1.2	 130
4	x300v3000	0.57	173.2	5.4	0.90	 4.7	 9.0	13.4	12.8	24.5	36.2	 102
5	x300v3000b	0.57	173.2	5.4	0.90	17.5	29.2	41.0	47.0	77.6	107.8	 413
6	x1000v480	6.54	15.2	0.7	0.90	 0.4	 0.9	 1.3	 2.8	 5.5	 8.3	 299
7	x3000v860	6.32	15.7	0.7	0.90	 0.0	 0.1	 0.1	 0.3	 0.4	 0.6	 283
8	x300v1700c5	1.01	98.1	4.2	0.90	34.1	71.4	116.5	106.7	209.2	316.6	 327
9	x300v1700c20	1.01	98.1	4.2	0.90	38.6	89.9	177.5	119.8	255.3	439.6	 326
