#ID	Modelname	tcc	vs	vexp	q	t75	t50	t25	v75	v50	v25	Lmax
0	x300v1000	1.72	57.7	3.2	0.95	11.5	18.3	24.8	43.7	68.0	89.8	 986
1	x300v1700	1.01	98.1	4.2	0.95	11.2	17.5	22.9	37.1	57.0	74.0	 919
2	x1000v1700	1.85	53.8	3.0	0.95	 1.7	 3.2	 4.8	 6.9	13.1	19.2	 191
3	x3000v3000	1.81	54.8	3.1	0.95	 0.1	 0.3	 0.4	 0.6	 1.2	 1.7	 132
4	x300v3000	0.57	173.2	5.4	0.95	 7.4	11.3	14.6	20.2	30.9	39.7	 559
5	x300v3000b	0.57	173.2	5.4	0.95	25.3	37.3	47.2	68.2	99.5	124.9	2086
6	x1000v480	6.54	15.2	0.7	0.95	 0.4	 0.9	 1.3	 2.9	 5.7	 8.5	 300
7	x3000v860	6.32	15.7	0.7	0.95	 0.0	 0.1	 0.1	 0.3	 0.5	 0.6	 283
8	x300v1700c5	1.01	98.1	4.2	0.95	24.6	43.0	62.4	79.1	133.8	187.4	1342
9	x300v1700c20	1.01	98.1	4.2	0.95	13.4	31.5	61.0	44.1	100.0	183.7	1190
