#snapnum a zred
  0 0.03226 29.99997
  1 0.04762 20.00002
  2 0.06250 15.00000
  3 0.06667 13.99999
  4 0.07143 12.99999
  5 0.07692 12.00000
  6 0.08000 11.50000
  7 0.08333 11.00000
  8 0.08696 10.50000
  9 0.09091 10.00000
 10 0.09302 9.74999
 11 0.09524 9.50000
 12 0.09756 9.25000
 13 0.10000 9.00000
 14 0.10256 8.75000
 15 0.10526 8.50000
 16 0.10811 8.25000
 17 0.11111 8.00000
 18 0.11429 7.75000
 19 0.11765 7.50000
 20 0.12121 7.25000
 21 0.12500 7.00000
 22 0.12903 6.75000
 23 0.13333 6.50000
 24 0.13793 6.25000
 25 0.14286 6.00000
 26 0.14815 5.75000
 27 0.15385 5.50000
 28 0.16000 5.25000
 29 0.16667 5.00000
 30 0.17391 4.75000
 31 0.18182 4.50000
 32 0.19048 4.25000
 33 0.20000 4.00000
 34 0.20408 3.90000
 35 0.20833 3.80000
 36 0.21277 3.70000
 37 0.21739 3.60000
 38 0.22222 3.50000
 39 0.22727 3.40000
 40 0.23256 3.30000
 41 0.23810 3.20000
 42 0.24390 3.10000
 43 0.25000 3.00000
 44 0.25641 2.90000
 45 0.26316 2.80000
 46 0.27027 2.70000
 47 0.27778 2.60000
 48 0.28571 2.50000
 49 0.28986 2.45000
 50 0.29412 2.40000
 51 0.29851 2.35000
 52 0.30303 2.30000
 53 0.30769 2.25000
 54 0.31250 2.20000
 55 0.31746 2.15000
 56 0.32258 2.10000
 57 0.32787 2.05000
 58 0.33333 2.00000
 59 0.33898 1.95000
 60 0.34483 1.90000
 61 0.35088 1.85000
 62 0.35714 1.80000
 63 0.36364 1.75000
 64 0.37037 1.70000
 65 0.37736 1.65000
 66 0.38462 1.60000
 67 0.39216 1.55000
 68 0.40000 1.50000
 69 0.40816 1.45000
 70 0.41667 1.40000
 71 0.42553 1.35000
 72 0.43478 1.30000
 73 0.44444 1.25000
 74 0.45455 1.20000
 75 0.46512 1.15000
 76 0.47619 1.10000
 77 0.48780 1.05000
 78 0.50000 1.00000
 79 0.51282 0.95000
 80 0.52632 0.90000
 81 0.54054 0.85000
 82 0.55556 0.80000
 83 0.57143 0.75000
 84 0.58824 0.70000
 85 0.60606 0.65000
 86 0.62500 0.60000
 87 0.64516 0.55000
 88 0.66667 0.50000
 89 0.67797 0.47500
 90 0.68966 0.45000
 91 0.70175 0.42500
 92 0.71429 0.40000
 93 0.72727 0.37500
 94 0.74074 0.35000
 95 0.75472 0.32500
 96 0.76923 0.30000
 97 0.78431 0.27500
 98 0.80000 0.25000
 99 0.81633 0.22500
100 0.83333 0.20000
101 0.85106 0.17500
102 0.86957 0.15000
103 0.88889 0.12500
104 0.90909 0.10000
105 0.93023 0.07500
106 0.95238 0.05000
107 0.97561 0.02500
108 1.00000 0.00000
